qa_id,qa_type,question,answer,model,effective,update_by,update_time,model_list,model_num,model_id,cat_name,error_list
ICWIKI202307246553,产品参数,A10的机身重量，带包装箱的重量？,您好，机身净重约4.1kg，带包装箱9.7kg,A10,2023-07-24 18:37:06 已生效,王鹏程,2023-09-07 11:38:00.000000,a10,1,ICMU003,洗地机,
ICWIKI202307243822,故障问题,充电基座脏污,"1引导客户清洗底板
*晾干后使用
2用柔软干布擦拭充电主体后进行使用观察",A10,2023-07-24 18:07:11 已生效,王鹏程,2023-09-07 11:38:00.000000,a10,1,ICMU003,洗地机,
ICWIKI202307243858,故障问题,固件升级失败/升级卡住不动,"1，引导客户在升级时确保洗地机在充电座上且处于充电状态（未执行自清洁任务），且主机电量>20%，可进行尝试
2，确认洗地机和手机都在联网状态下，且都处于网络条件较好，进行尝试
*查看路由器网络是否正常，可重启路由器和主机尝试
3，将吸尘器组件插入洗地机部分中，确保接触良好，可尝试观察（此情况只适合A10Uitra)
4，机器离桩，两种情况进行操作，进行观察
*屏幕亮长按电源键至屏幕灭
*屏幕不亮，长按电源键15秒
5，充电桩断电，一分钟后进行电源连接，在将机器放在桩上，一分钟后在进行尝试升级，进行观察",A10,2023-07-24 18:08:25 已生效,王鹏程,2023-09-07 11:38:00.000000,a10,1,ICMU003,洗地机,
ICWIKI202307243854,故障问题,地面有水渍,"1引导客户查看下滤网是否正常安装，确认后使用观察
2，查看管道或者滤网是否产生堵塞，需要及时进行清理，之后使用观察
3咨询客户使用时间，了解是否是因长时间使用，磨损，刷毛吸水性能降低，降低使用效果
4，如解决，则继续使用即可；
未解决，引导客户提供报错时照片或视频，进一步确认",A10,2023-07-24 18:08:19 已生效,王鹏程,2023-09-07 11:38:00.000000,a10,1,ICMU003,洗地机,
ICWIKI202307246585,产品参数,机身尺寸，包装尺寸，和底座尺寸？,包装尺寸：768*360*286mm；机身尺寸：1109mm*260mm*303mm；充电座长宽高：324mm*345mm*209mm,A10,2023-07-24 18:38:09 已生效,王鹏程,2023-09-07 11:38:00.000000,a10,1,ICMU003,洗地机,
ICWIKI202307246550,产品参数,水箱续航时间？使用时间,"您好，A10在清水箱装满水的情况下使用自动档位默认水量，清水箱续航约30分钟；使用强力档位，清水箱续航约25分钟；使用轻拖模式，清水箱续航约32分钟，清水箱续航时间与家庭使用环境及滚刷状态有较大关系，具体以实际使用为准。
污水箱续航，eco约30分钟，max约20min，AUTO约30分钟，清水箱续航时间与家庭使用环境及滚刷状态有较大关系，具体以实际使用为准。
注：自动挡位检测到脏污时会增大水量，从而水箱续航会有所变短。",A10,2023-07-24 18:37:00 已生效,王鹏程,2023-09-07 11:38:00.000000,a10,1,ICMU003,洗地机,
ICWIKI202307246308,产品参数,洗地机的机身尺寸，包装尺寸，和底座尺寸？,包装尺寸：768*360*286mm；机身尺寸：1109mm*260mm*303mm；充电座长宽高：324mm*345mm*209mm,A10,2023-07-24 18:28:59 已生效,王鹏程,2023-09-07 11:38:00.000000,a10,1,ICMU003,洗地机,
ICWIKI202307243967,故障问题,洗地机联网时，搜索不到设备或联网失败,"1，引导客户打开蓝牙与定位系统，让洗地机进入配网模式进行配网
*首次开机默认进入配网模式
*按下「自清洁键」和「档位切换键」3秒，待听到提示音后，进入配网模
*洗地机未进入配网模式或超时需重新操作进入配网
2，确认手机和洗地机是否为同一网络区域，且密码是否正确
3，是否网络为2.4G，如果家中使用5G路由器，可关闭双频合一功能，独立出2.4G网络进行使用。
*WIFI6协议，需更改修改为WPA2或WPA2/WPA3路径进行使用",A10,2023-07-24 18:11:32 已生效,王鹏程,2023-09-07 11:38:00.000000,a10,1,ICMU003,洗地机,
ICWIKI202307246534,产品参数,电池续航时间？使用时间,您好，A10在充满电的情况下，使用轻拖模式，运行时长约50分钟；使用自动档位，运行时长约35分钟，使用MAX模式，运行时长约25分钟，各档位电池续航时间与家庭使用环境及滚刷状态有关，具体以实际使用为准。,A10,2023-07-24 18:36:31 已生效,王鹏程,2023-09-07 11:38:00.000000,a10,1,ICMU003,洗地机,
ICWIKI202307243983,故障问题,自清洁后，仍有毛发缠绕、滚刷脏污、管道残留,"1，引导客户手动进行清理，毛发缠绕可使用剪刀类进行修剪，后使用观察
2，清理毛发后可自清洁管道和滚刷，滚刷可拆洗，之后使用观察
3，如解决，则继续使用即可；
未解决，引导客户提供报错时照片或视频，进一步确认",A10,2023-07-24 18:12:03 已生效,王鹏程,2023-09-07 11:38:00.000000,a10,1,ICMU003,洗地机,
