model_id,cat_name,model,effective
ICMU001,吸尘器,h6,2023-07-24 17:51:03 已生效
ICMU002,吸尘器,h7,2023-07-24 17:51:06 已生效
ICMU003,洗地机,a10,2023-07-24 17:51:08 已生效
ICMU004,洗地机,a10plus,2023-07-24 17:51:10 已生效
ICMU005,洗地机,a10ultra,2023-07-24 17:52:02 已生效
ICMU006,洗地机,a10ultrae,2023-07-24 17:52:05 已生效
ICMU007,洗地机,u10,2023-07-24 17:51:12 已生效
ICMU037,洗地机,洗地机全型号,2023-07-24 17:52:19 已生效
ICMU008,洗衣机,h1,2023-07-24 17:51:14 已生效
ICMU038,洗衣机,h1neo,2023-09-04 09:22:15 已生效
ICMU009,扫地机,智能烘干套件,2023-07-24 17:51:16 已生效
ICMU010,扫地机,智能集尘充电座,2023-07-24 17:51:18 已生效
ICMU011,扫地机,自动集尘充电座,2023-07-24 17:51:21 已生效
ICMU012,扫地机,p5,2023-07-24 17:51:23 已生效
ICMU013,扫地机,s5,2023-07-24 17:51:25 已生效
ICMU014,扫地机,t6,2023-07-24 17:51:26 已生效
ICMU015,扫地机,t7,2023-07-24 17:51:28 已生效
ICMU016,扫地机,t7pro,2023-07-24 17:51:32 已生效
ICMU017,扫地机,t7s,2023-07-24 17:51:34 已生效
ICMU018,扫地机,t7splus,2023-07-24 17:51:36 已生效
ICMU019,扫地机,g10,2023-07-24 17:51:38 已生效
ICMU020,扫地机,g10plus,2023-07-24 17:51:41 已生效
ICMU021,扫地机,t8,2023-07-24 17:51:43 已生效
ICMU022,扫地机,t8plus,2023-07-24 17:51:45 已生效
ICMU023,扫地机,g10spro,2023-07-24 17:51:47 已生效
ICMU024,扫地机,g10sauto,2023-07-24 17:51:49 已生效
ICMU025,扫地机,g10s,2023-07-24 17:51:51 已生效
ICMU026,扫地机,g10spure,2023-07-24 17:51:53 已生效
ICMU027,扫地机,p10上下水版,2023-07-24 17:51:55 已生效
ICMU028,扫地机,p10,2023-07-24 17:51:57 已生效
ICMU029,扫地机,g20上下水版,2023-07-24 17:51:59 已生效
ICMU030,扫地机,g20,2023-07-24 17:52:01 已生效
ICMU031,扫地机,米家扫地机,2023-07-24 17:52:07 已生效
ICMU032,扫地机,p10pro,2023-08-23 09:54:45 已生效
ICMU033,扫地机,智能上下水及烘干套件（g10s、pro、auto的上下水）,2023-07-24 17:52:10 已生效
ICMU034,扫地机,智能上下水套件（g10spure的上下水）,2023-07-24 17:52:12 已生效
ICMU035,扫地机,g10spure上下水版,2023-07-24 17:52:15 已生效
ICMU036,扫地机,g10s系列,2023-07-24 17:52:17 已生效
ICMU001,扫地机,p10pro上下水版,2023-09-04 17:36:00 已生效
ICMU002,洗衣机,m1,
ICMU003,洗地机,a20,2024-01-02 10:30:29 已生效
ICMU004,洗地机,a20pro,2024-01-02 10:30:44 已生效
ICMU005,扫地机,p10s,2024-02-06 11:04:45 已生效
ICMU006,扫地机,p10s上下水,2024-02-06 11:06:01 已生效
ICMU007,扫地机,a20air,2024-03-08 17:51:15 已生效
