qa_id,question,gt_qa_id,gt_num,question_kg,answer_kg,model,qa_type,model_list,cat_name,sim_q_gt
ICASK202308231120,G20无法联网,ICWIKI202307246395,1,联网失败或连接超时或无法连接无法联网,"扫地机配网第一步失败：
1.引导用户确认好手机蓝牙正常开启状态
2.确认当前机器人处在配网模式，机器人配网指示灯处于蓝灯慢闪状态
3.确认当前位置权限是否开启，连接时如有app位置授权弹窗时需要点击允许

扫地机配网第二步失败：
1.询问用户手机系统情况，以及是否打开局域网权限，如果已经打开，建议尝试结束关闭APP尝试几次。如果没打开，建议用户打开再尝试（配网必须要改权限）。
2.苹果手机需额外查看手机本地网络权限设置为允许后进行尝试，操作路径：进入手机设置=》直接下滑找到Robo Rock  App点击进入=》打开本地网络开关
【小概率出现当前手机所连接家庭的wifi错误在第二步失败，可引导检查手机连接的是不是家里的wifi，连接的wifi是否正确，以及密码是否正确】

扫地机联网失败/扫地机联网第三步报错失败
请确认以下操作
【排查方式中部分步骤包含路由器设置相关内容，此类步骤需要提前问下用户是否了解路由器设置，如用户了解可继续进行排查，如果用户不了解引导用户联系一下了解路由器的家人/朋友帮忙排查一下，优先排查其他步骤】
1. WIFI的名称及密码有无特殊字符，最好为字母数字组合。
2. WIFI连接步骤是否正确，建议用户录制操作视频，通过查看视频是否有错误操作（WIFI热点列表中保存了扫地机热点；密码输入是否正确，区分大小写，有无空格）
3. 不支持无密码wifi网络，不支持5G网络
4.个别路由器需要配置成包含11n/ax mixed模式（混合模式）
5. 如路由器加密方式是wep，此加密方式安全级别较低，不支持； 修改为wpa/wpa 2 混合加密即可
6.使用另一台手机移动网络建立WIFI热点，尝试WIFI连接（建议更换几个不同的手机发送和连接热点进行尝试）
温馨提示：
1. wifi6路由器有11n/ax mixed模式（混合模式），推荐您打开此选项正常再尝试连接使用观察；
2. 同时建议检查加密方式，如为WPA3超强加密方式（WPA3为新一代加密技术,但选择该选项后部分设备可能会存在兼容性问题而无法接入。），则需要修改为WPA2或WPA2/WPA3","A10Ultra, A10, A10Plus, A10UltraE, P5, T7, T6, S5, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SAuto, G10S, G10SPure, P10上下水版, P10, G20上下水版, G20, G10S系列, P10Pro",APP及联网,"a10ultra,a10,a10plus,a10ultrae,p5,t7,t6,s5,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10sauto,g10s,g10spure,p10上下水版,p10,g20上下水版,g20,g10s系列,p10pro","洗地机,洗地机,洗地机,洗地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.63
ICASK202308211090,G20 联网失败,ICWIKI202307246395,1,联网失败或连接超时或无法连接无法联网,"扫地机配网第一步失败：
1.引导用户确认好手机蓝牙正常开启状态
2.确认当前机器人处在配网模式，机器人配网指示灯处于蓝灯慢闪状态
3.确认当前位置权限是否开启，连接时如有app位置授权弹窗时需要点击允许

扫地机配网第二步失败：
1.询问用户手机系统情况，以及是否打开局域网权限，如果已经打开，建议尝试结束关闭APP尝试几次。如果没打开，建议用户打开再尝试（配网必须要改权限）。
2.苹果手机需额外查看手机本地网络权限设置为允许后进行尝试，操作路径：进入手机设置=》直接下滑找到Robo Rock  App点击进入=》打开本地网络开关
【小概率出现当前手机所连接家庭的wifi错误在第二步失败，可引导检查手机连接的是不是家里的wifi，连接的wifi是否正确，以及密码是否正确】

扫地机联网失败/扫地机联网第三步报错失败
请确认以下操作
【排查方式中部分步骤包含路由器设置相关内容，此类步骤需要提前问下用户是否了解路由器设置，如用户了解可继续进行排查，如果用户不了解引导用户联系一下了解路由器的家人/朋友帮忙排查一下，优先排查其他步骤】
1. WIFI的名称及密码有无特殊字符，最好为字母数字组合。
2. WIFI连接步骤是否正确，建议用户录制操作视频，通过查看视频是否有错误操作（WIFI热点列表中保存了扫地机热点；密码输入是否正确，区分大小写，有无空格）
3. 不支持无密码wifi网络，不支持5G网络
4.个别路由器需要配置成包含11n/ax mixed模式（混合模式）
5. 如路由器加密方式是wep，此加密方式安全级别较低，不支持； 修改为wpa/wpa 2 混合加密即可
6.使用另一台手机移动网络建立WIFI热点，尝试WIFI连接（建议更换几个不同的手机发送和连接热点进行尝试）
温馨提示：
1. wifi6路由器有11n/ax mixed模式（混合模式），推荐您打开此选项正常再尝试连接使用观察；
2. 同时建议检查加密方式，如为WPA3超强加密方式（WPA3为新一代加密技术,但选择该选项后部分设备可能会存在兼容性问题而无法接入。），则需要修改为WPA2或WPA2/WPA3","A10Ultra, A10, A10Plus, A10UltraE, P5, T7, T6, S5, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SAuto, G10S, G10SPure, P10上下水版, P10, G20上下水版, G20, G10S系列, P10Pro",APP及联网,"a10ultra,a10,a10plus,a10ultrae,p5,t7,t6,s5,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10sauto,g10s,g10spure,p10上下水版,p10,g20上下水版,g20,g10s系列,p10pro","洗地机,洗地机,洗地机,洗地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.66
ICASK202308201074,G10S Pure有个房间不去清扫,ICWIKI202307243914,1,扫地机漏扫,"1，引导客户回忆使用前清扫区域存在未提前打开门或者中途进行了关闭，可以尝试开门后进行重新清洁观察
2，使用柔软干布擦拭一下黑色过门石及悬崖传感器及沿墙传感器后使用观察
3，APP显示为障碍物困住，可清除环境中障碍物，下次清扫可改善，后期注意观察使用
4，可以对落地镜进行遮挡，高度为15cm，进行使用观察
5，APP可以进行分区，进行观察使用","P5, S5, T6, T7, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SAuto, G10S, G10SPure, P10, G20, P10上下水版, G20上下水版, P10Pro",故障问题,"p5,s5,t6,t7,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10sauto,g10s,g10spure,p10,g20,p10上下水版,g20上下水版,p10pro","扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.46
ICASK202308191072,P10上下水无法充电,ICWIKI202307243846,1,扫地机器人错误13充电异常/无法充电/充不上电,"需确认充电桩电源指示灯是否亮起
1，引导客户使用橡皮擦或柔软干布进行擦拭弹片和触片区域,，在使用观察
2，给充电桩断电2分钟，两分钟后在通电使用观察，
（注*需给充电桩断电，不是扫地机）
3，如未解决，引导客户提供报错时视频，进一步确认，
以上均未解决引导提供产品信息，售后返厂检测","P5, S5, T6, T7, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SAuto, G10S, G10SPure, P10, G20, P10上下水版, G20上下水版, P10Pro",故障问题,"p5,s5,t6,t7,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10sauto,g10s,g10spure,p10,g20,p10上下水版,g20上下水版,p10pro","扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.59
ICASK202308171046,T8噪音多大,ICWIKI202307244244,1,扫地机器人的噪音多少分贝？,"您好，在扫拖机器人正上方一米量测，从安静模式到MAX模式的噪声值大约在63到76dB(A),安静约63dB（A），标准约65dB（A），强力约70dB(A），Max约76dB（A）（来自石头科技实验室数据）。由于机器之间差异,噪音值也会略微上下浮动。如果您对噪音比较敏感，我们还有多种使用方式供您选择：有人在家时，您可以使用手机APP，将机器人调节到安静模式进行清扫，或选择精细拖地模式来拖地；在家中无人时，您可以远程或定时控制机器人启动扫拖，这样您就不会再有噪音烦恼了。",T8,日常使用,t8,扫地机,0.5
ICASK202308171040,G10怎么连接智能音箱,ICWIKI202308090036,1,扫地机如何连接智能音箱？/扫地机链接智能音箱/扫地机连接智能音响/扫地机链接智能音响/连接小爱百度天猫精灵,"您好，关于您咨询情况可以打开石头App-右下方“头像”选择-语音控制-选择对应智能音箱，即可查看具体授权链接步骤；感谢您的支持和理解，祝您生活愉快。
【示例：石头App和小爱音箱】
下载石头APP和小爱音箱APP，扫地机与石头APP连接，小爱与小爱音箱APP连接，连接成功后：
1.在小爱音箱APP智能家居，点击右上角+号；
2.点击其他平台设备，点击添加；
3.选择石头科技，绑定账号，选择“中国（86）”，输入石头APP账户及密码并点击登录；
4.同步设备成功后即可使用","P5, S5, T6, T7, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SAuto, G10S, G10SPure, P10, G20, P10上下水版, G20上下水版, P10Pro",常见问题,"p5,s5,t6,t7,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10sauto,g10s,g10spure,p10,g20,p10上下水版,g20上下水版,p10pro","扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.6
ICASK202308171032,T7S PLUS 错误一,ICWIKI202307243886,1,扫地机器人机器人报错误1激光头遮挡,"1,引导客户提供报错时照片或视频，进一步确认；
*有贴膜，优先引导客户取下贴膜后再关机重启使用观察；
*无贴膜，可忽略此步骤；
2，机器顶部是否贴美图纸或者放其他物品，需清除后在使用观察
3，可重新启动后使用观察
4，观察激光测距传感器是否旋转，请用笔或者其他物品拨动激光测距传感器确认没有异物卡住激光头，再启动机器人继续清扫""
3.如解决，则继续使用即可；
如未解决，建议客户提供视频或者照片进行协助确认","P5, S5, T6, T7, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, P10Pro, G10SAuto",故障问题,"p5,s5,t6,t7,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,p10pro,g10sauto","扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.48
ICASK202308151004,A10 Ultra 烘干不佳,ICWIKI202307246486,1,烘干后感觉滚刷还有些潮湿怎么办？烘干效果差,您好，请先自清洁后再开始烘干，自清洁后会自动甩干，提升烘干效果。在空气比较潮湿的地方也会导致烘干变慢，可以在APP内将静音烘干的时间设置到更长时间。,"A10Ultra, A10, A10Plus, A10UltraE",常见问题,"a10ultra,a10,a10plus,a10ultrae","洗地机,洗地机,洗地机,洗地机",0.52
ICASK202308151003,机器人错误18,ICWIKI202307243847,1,扫地机器人错误18--吸尘风机出现异常,"您好，关于您咨询遇到情况可按下方内容操作后使用观察：
1. 取下尘盒，尝试用手拍打风机位置（风机口朝下），操作完成后关机重启再使用观察。
2. 打开扫地机盖用细小硬物按压重置系统按键,重置系统完成后再点击开始清扫使用观察。
【注】重置系统后定时清洁和WiFi等相关设置将恢复到出厂状态。
3，如未解决，引导客户提供报错时视频，进一步确认，
以上均未解决引导提供产品信息，售后返厂检测。","P5, S5, T6, T7, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SAuto, G10S, G10SPure, P10, G20, P10上下水版, G20上下水版, P10Pro",故障问题,"p5,s5,t6,t7,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10sauto,g10s,g10spure,p10,g20,p10上下水版,g20上下水版,p10pro","扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.71
ICASK202308150996,石头扫地机错误6,ICWIKI202307260004,1,错误6——请拆卸并清理边刷,您好，请您将边刷拆下后，将边刷上缠绕的毛发等异物清理后，再次安装，然后重新启动机器人工作查看 ,"P5, S5, T6, T7, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SAuto, G10S, G10SPure, P10, G20, P10上下水版, G20上下水版, P10Pro",故障问题,"p5,s5,t6,t7,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10sauto,g10s,g10spure,p10,g20,p10上下水版,g20上下水版,p10pro","扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.62
